uses,floor,name,ceiling,width,height,hip,points,ups
3,1,110,1.85,1.82,0.91,0,4,'002460650102460510102631160202630010'
3,1,7,2.5,1.365,1.82,0,4,'002640200102450400112450120202630160212450160'
3,1,7,2.35,1.82,3.88,0,4,'002640200102450400112450120202630160212450160'
3,1,110,2,0.85,1.82,0,4,'002640110012450120102450400112450120102631160202630160212460200'
3,1,109,2.6,7.28,7.28,0,4,'002640200102631190112460410102460510112610210202630010'
3,1,7,2.35,12.74,1.82,0,4,'002640200102460510202630010'
3,1,27,2.25,4.55,1.82,0,4,'002640160102630760302450440312460470312450050312451070202630160212450160202450220212460200212450050212451070'
3,1,21,2.2,0.91,0.91,0,4,'002640110102630760102460410202630160212450160'
3,1,27,2.2,0.91,0.91,0,4,'002640200102630760302450440312460470312450050312451070202630160212450160'
3,1,21,1.8,1.82,0.6,0,4,'002460600102460410202460190'
1,1,8,2.6,1,2,0,4,'002640070202440060212450140302440240312450320102631190112630760'
1,1,42,1.35,1,0.5,0,4,'102460450202460190002460600'
1,1,13,1.38,1,0.5,0,4,'102460450202460190002460600'
1,1,27,2.3,1,1.5,0,4,'102631190112630760202630160212460200002640070'
1,1,4,2.3,2,1.5,0,4,'002640070202630160212460200102631190112630760'
1,1,29,2.35,2,1.5,0,4,'302440180312460430312450050312451070312450330102450400112450120202440140212450150002450620012450040012451060'
1,1,113,2.45,3,7,0,4,'102631190112630760202630010002640250002640300012640050'
1,1,86,0.6,2,0.5,0,4,'202460300002460720102450560112450120'
1,2,12,2.4,2,1.5,0,4,'102631190112630760002640070'
1,2,33,2.4,3,3.5,0,4,'102460520202630010002640070'
1,2,32,2.5,3,3.5,0,4,'202630320212460270002460690102450530112450120'
1,2,114,2.5,3,3.5,0,4,'002460690202630320212460270102450530112450120'
1,2,2,2.4,2,1,0,4,'002460690202630320212460270102450530112450120'
1,1,115,2.4,1,2,0,4,'102631190112630760'
1,1,8,2.45,1.82,2.73,0,4,'002460700002460770202460340202440060212450140102450530112450120'
1,1,90,2.4,2.73,3.64,0,4,'002460690202630380212460270102450530112450120'
1,1,90,2.4,3.64,3.64,0,4,'002460690202630380212460270102450530112450120002460770'
1,1,39,2.4,1.82,1.82,0,4,'202630160212460200002640070102631190112630760'
1,1,29,2.4,1.82,1.82,0,4,'202440150212450150002640350102440170112460430112450050112451070112450330'
1,1,27,2.4,0.91,1.52,0,4,'202630160212460200002640070102631190112630760'
1,1,12,2.45,1.82,0.91,0,4,'102460520202460340'
1,1,116,2.4,1.82,0.455,1.8,4,'202460340202460190002460690302450530312450120102450560012450120'
1,2,12,2.45,2.73,0.91,0,4,'102450530112450120002460700'
1,2,19,2.4,2.73,3.64,0,4,'202630460212460200002640070102631190112630760'
1,2,90,2.4,2.73,3.64,0,4,'102450530112450120002460700202630380212460270'
1,1,43,2.45,1.82,2.73,0,4,'002460700002460770202460340202440060212450140102450530112450120'
1,1,90,2.4,2.73,3.64,0,4,'002460690102450530112450120202630380212460270'
1,1,39,2.4,1.82,1.82,0,4,'002640070102631190112630760202630160212460200'
1,1,29,2.4,1.82,1.82,0,4,'002640350102440170112460430112450050112451070112450330202440140212450150'
